id,speed,deg
0,0.21,-122.998985
1,0.66,-51.49899
2,1.31,-90.99898
3,0.21,99.50129
4,5.81,-11.998992
5,10.16,35.5013
6,8.06,28.001299
7,5.71,12.500199
8,3.51,-23.498983
9,3.56,-14.999002
10,3.3099997,-49.00001
11,3.5599997,-73.99899
12,4.86,-97.99899
13,0.91,-59.998993
14,0.86,148.50099
15,1.9600002,176.001
16,3.7600002,13.001299
17,7.2600007,41.0013
18,7.56,50.501297
19,8.06,21.001299
20,2.56,-40.498997
21,4.86,-85.998985
22,1.76,-135.999
23,3.06,-149.0
24,5.46,-114.99897
25,3.71,-116.99899
26,3.76,-45.5
27,3.26,-20.499
28,5.21,14.001299
29,5.26,23.001299
30,6.81,36.501293
31,2.06,7.0013094
32,1.86,82.50129
33,1.76,-156.99898
34,4.9099994,-102.499
35,1.61,-126.998985
36,4.36,-144.99898
37,5.4600005,-133.49898
38,3.51,-128.49898
39,7.86,-11.998992
40,8.01,-1.4989978
41,8.01,5.00021
42,6.56,11.001298
43,5.5600004,20.001297
44,1.01,15.001299
45,0.56,140.001
46,4.71,113.50099
47,4.1600003,-100.49898
48,4.9100003,-109.99898
49,5.21,-119.49898
50,3.7600002,-150.499
51,4.3100004,-134.49898
52,8.81,-12.498989
53,8.81,0.5002139
54,7.71,0.501312
55,6.86,3.5013096
56,5.8100004,-2.498992
57,7.01,-16.498995
58,11.51,10.0002
59,6.36,-26.99899
60,3.86,-73.99899
61,9.06,-90.99999
62,5.36,-131.499
63,4.31,-156.99898
64,5.3099995,-126.49899
65,9.21,-15.998997
66,8.360001,-6.9989934
67,8.060001,-3.4989865
68,7.1600003,-4.9990053
69,6.06,-10.499001
70,6.56,-3.998984
71,7.61,26.0002
72,4.81,-57.999004
73,7.96,-94.498985
74,9.16,-94.998985
75,7.6600003,-98.998985
76,4.7600007,-122.49999
77,4.21,-140.49898
78,8.41,-15.998997
79,8.96,-8.498986
80,8.360001,-6.9989934
81,7.46,-14.499005
82,6.21,-5.9989996
83,5.06,-0.49900356
84,4.91,18.001299
85,6.61,-93.49899
86,9.71,-101.999
87,7.86,-105.49898
88,8.16,-109.99898
89,1.56,16.001299
90,3.41,-173.99898
91,8.31,-19.499002
92,8.560001,-3.9989839
93,6.5599995,-20.998995
94,7.11,-16.498993
95,6.21,-5.499002
96,4.46,-15.998999
97,2.9600003,-30.998993
98,6.1599994,-100.99901
99,10.86,-89.998985
100,8.61,-96.99899
101,6.21,-88.49899
102,5.8099995,-104.498985
103,3.3600001,-73.499
104,8.71,-6.5000076
105,7.96,-13.498984
106,6.36,-14.499003
107,7.96,-4.4990087
108,7.2600007,-7.9989877
109,6.21,-28.999
110,5.56,-54.498997
111,8.51,-92.999
112,8.31,-96.499
113,9.46,-80.998985
114,6.01,-84.99898
115,4.81,-144.99898
116,2.21,137.00099
117,8.06,-21.498995
118,6.9599996,-20.498999
119,7.81,-2.498992
120,8.16,-1.4989978
121,8.210001,-7.4989905
122,7.91,-29.998999
123,8.46,-63.499
124,9.16,-99.99898
125,6.2600007,-99.498985
126,7.3600006,-82.499
127,8.96,-80.498985
128,5.6599994,-87.499
129,1.0,-45.000004
130,7.61,0.5002139
131,7.91,-5.499002
132,8.36,4.0013094
133,9.06,11.5002
134,8.06,-3.998984
135,6.9600005,-61.999992
136,10.210001,-83.49899
137,1.01,-90.99898
138,4.63,-68.00001
139,4.91,-66.49898
140,13.360001,-74.49899
141,8.86,-80.999985
142,5.76,-64.49899
143,6.71,2.5013099
144,7.86,7.00131
145,8.409999,6.50131
146,8.56,4.5013094
147,5.56,-21.500004
148,7.3600006,-82.499
149,8.22,-37.999992
150,4.36,-55.49899
151,2.81,-52.498978
152,4.46,-90.99898
153,15.710001,-91.49901
154,9.31,-80.99898
